task_id,entry_point,completion,result,passed,
MBPP/1,min_cost,"def min_cost(cost, m, n):
    # Get the number of rows and columns
    rows = len(cost)
    cols = len(cost[0]) if rows > 0 else 0
    
    # Create a 2D list to store the minimum cost to reach each cell
    dp = [[0 for _ in range(cols)] for _ in range(rows)]
    
    # Initialize the starting point
    dp[0][0] = cost[0][0]
    
    # Fill the first row (only can come from the left)
    for j in range(1, cols):
        dp[0][j] = dp[0][j - 1] + cost[0][j]
    
    # Fill the first column (only can come from above)
    for i in range(1, rows):
        dp[i][0] = dp[i - 1][0] + cost[i][0]
    
    # Fill the rest of the dp table
    for i in range(1, rows):
        for j in range(1, cols):
            dp[i][j] = cost[i][j] + min(dp[i - 1][j], dp[i][j - 1])
    
    # The minimum cost to reach (m, n)
    return dp[m][n]

# Test case
assert min_cost([[1, 2, 3], [4, 8, 2], [1, 5, 3]], 2, 2) == 8",failed: ,FALSE,1
MBPP/2,similar_elements,"def similar_elements(tuple1, tuple2):
    """"""
    Find the similar elements from two given tuples.

    Parameters:
    tuple1 (tuple): The first tuple containing elements.
    tuple2 (tuple): The second tuple containing elements.

    Returns:
    tuple: A tuple containing the elements that are present in both input tuples.
    """"""
    # Convert tuples to sets to find common elements
    set1 = set(tuple1)
    set2 = set(tuple2)
    
    # Find the intersection of both sets
    common_elements = set1.intersection(set2)
    
    # Convert the result back to a sorted tuple
    return tuple(sorted(common_elements))

# Test the function with the provided test case
assert similar_elements((3, 4, 5, 6), (5, 7, 4, 10)) == (4, 5)

# Additional test cases
assert similar_elements((1, 2, 3), (4, 5, 6)) == ()
assert similar_elements((1, 2, 3), (3, 2, 1)) == (1, 2, 3)
assert similar_elements((), ()) == ()
assert similar_elements((1, 2, 3), ()) == ()
assert similar_elements((), (1, 2, 3)) == ()

print(""All test cases passed!"")",passed,TRUE,2
MBPP/3,is_not_prime,"import math

def is_not_prime(n):
    """"""
    Determine if a number is non-prime.
    
    Parameters:
    n (int): The number to check.
    
    Returns:
    bool: True if the number is non-prime, False if it is prime.
    """"""
    if n < 2:
        return True  # 0, 1, and negative numbers are non-prime
    if n == 2:
        return False  # 2 is a prime number
    if n % 2 == 0:
        return True  # Any even number greater than 2 is non-prime
    
    # Check for factors from 3 to the square root of n
    for i in range(3, int(math.sqrt(n)) + 1, 2):
        if n % i == 0:
            return True  # Found a factor, so n is non-prime
    
    return False  # No factors found, n is prime

# Test case
assert is_not_prime(2) == False  # 2 is prime",passed,TRUE,3
MBPP/4,heap_queue_largest,"import heapq

def heap_queue_largest(numbers, n):
    """"""
    Find the n largest integers from a given list of numbers using heap queue algorithm.

    Parameters:
    numbers (list): A list of integers from which to find the largest numbers.
    n (int): The number of largest integers to find.

    Returns:
    list: A list containing the n largest integers from the input list.
    """"""
    # Use heapq.nlargest to find the n largest numbers
    return heapq.nlargest(n, numbers)

# Test case
assert heap_queue_largest([25, 35, 22, 85, 14, 65, 75, 22, 58], 3) == [85, 75, 65]",passed,TRUE,4
MBPP/5,count_ways,"def count_ways(n):
    # Base cases
    if n == 0:
        return 1
    elif n == 1:
        return 0
    elif n == 2:
        return 3
    elif n == 3:
        return 0  # 3 x 1 cannot be filled with 2 x 1 dominoes

    # Create a list to store the number of ways to fill the board for each length
    dp = [0] * (n + 1)
    dp[0] = 1  # 1 way to fill a 3 x 0 board
    dp[1] = 0  # 0 ways to fill a 3 x 1 board
    dp[2] = 3  # 3 ways to fill a 3 x 2 board
    dp[3] = 0  # 0 ways to fill a 3 x 3 board

    # Fill the dp array using the recurrence relation
    for i in range(4, n + 1):
        dp[i] = 4 * dp[i - 2] + dp[i - 4]

    return dp[n]

# Test the function with the provided test case
assert count_ways(2) == 3

# Additional test cases
print(count_ways(0))  # Expected: 1
print(count_ways(1))  # Expected: 0
print(count_ways(3))  # Expected: 0
print(count_ways(4))  # Expected: 11
print(count_ways(5))  # Expected: 0
print(count_ways(6))  # Expected: 41",failed: ,FALSE,5
MBPP/6,differ_At_One_Bit_Pos,"def differ_At_One_Bit_Pos(num1, num2):
    # Perform XOR operation
    xor_result = num1 ^ num2
    
    # Check if xor_result has exactly one bit set
    # A number has exactly one bit set if it is greater than 0 and (n & (n - 1)) == 0
    return xor_result > 0 and (xor_result & (xor_result - 1)) == 0

# Test case
assert differ_At_One_Bit_Pos(13, 9) == True  # 13 (1101) and 9 (1001) differ at one bit position",passed,TRUE,6
MBPP/7,find_char_long,"import re

def find_char_long(input_string):
    """"""
    Find all words in the input string that are at least 4 characters long.

    Args:
    input_string (str): The string to search for words.

    Returns:
    list: A list of words that are at least 4 characters long.
    """"""
    # Regex pattern to find words with at least 4 characters
    pattern = r'\b\w{4,}\b'
    
    # Find all matches in the input string
    matches = re.findall(pattern, input_string)
    
    return matches

# Test case
assert find_char_long('Please move back to stream') == ['Please', 'move', 'back', 'stream']",passed,TRUE,7
MBPP/8,square_nums,"def square_nums(nums):
    """"""
    This function takes a list of numbers and returns a list of their squares.
    
    :param nums: List of integers
    :return: List of integers representing the squares of the input numbers
    """"""
    return list(map(lambda x: x ** 2, nums))

# Test case
assert square_nums([1, 2, 3, 4, 5, 6, 7, 8, 9, 10]) == [1, 4, 9, 16, 25, 36, 49, 64, 81, 100]",passed,TRUE,8
MBPP/9,find_Rotations,"def find_rotations(s: str) -> int:
    # Get the length of the string
    n = len(s)
    
    # If the string is empty or has only one character, return 1
    if n <= 1:
        return 1
    
    # Check for the minimum rotations
    for i in range(n):
        # Create the rotated version of the string
        rotated = s[i:] + s[:i]
        # If the rotated string matches the original, return the number of rotations
        if rotated == s:
            return i + 1  # +1 because we want the count of rotations
    
    return n  # In the worst case, it will take n rotations to return to the original

# Test case
assert find_rotations(""aaaa"") == 1",failed: name 'find_Rotations' is not defined,FALSE,9
MBPP/10,small_nnum,"def small_nnum(data, n):
    """"""
    Returns the n smallest items from the given dataset.

    Parameters:
    data (list): A list of numbers from which to find the smallest items.
    n (int): The number of smallest items to return.

    Returns:
    list: A list containing the n smallest items from the dataset.
    """"""
    # Sort the data in ascending order
    sorted_data = sorted(data)
    # Return the first n items from the sorted list
    return sorted_data[:n]

# Test case
assert small_nnum([10, 20, 50, 70, 90, 20, 50, 40, 60, 80, 100], 2) == [10, 20]

# Additional test cases for verification
assert small_nnum([5, 3, 8, 1, 2], 3) == [1, 2, 3]
assert small_nnum([7, 5, 3, 9, 1, 4], 4) == [1, 3, 4, 5]
assert small_nnum([10, 10, 10, 10], 2) == [10, 10]
assert small_nnum([], 0) == []  # Edge case: empty list and n=0",passed,TRUE,10
